time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,oil_rate_m3_day,water_rate_m3_day,cumulative_oil_m3,cumulative_water_m3,recovery_factor,water_cut
420.0,20.0,2,3.448409048212491e-10,218.52875207848476,252.04337527929593,0.1999230341679096,0.5811612437942439,13.169295629551927,0.01997857610176016,5640.427751713084,8.549525265680112,0.03301440846736826,0.0015147593256645
440.0,20.0,2,2.2170016592566707e-10,218.52629873939298,252.04230996850976,0.1999233439883321,0.5863101953090759,13.168162783075013,0.019976745836783195,5903.791007374584,8.949060182415776,0.034555919586815524,0.0015147508708858457
460.0,20.0,2,1.1331496507388424e-10,218.5243492855829,252.04208154713263,0.19992387876054774,0.5911425570553979,13.16726337515917,0.019975253731383133,6167.136274877767,9.348565257043438,0.03609732541843138,0.001514741205002647
480.0,20.0,2,8.748431409457597e-11,218.52278142467492,252.04269195302743,0.19992479893493564,0.5956898335704882,13.166540750369712,0.01997401771798786,6430.467089885162,9.748045611403196,0.037638646657065934,0.0015147306220993585
500.0,20.0,2,1.7682097187928724e-10,218.52152430652998,252.0437176203646,0.19992636783944778,0.5999793077889785,13.165962085407424,0.01997299024831948,6693.78633159331,10.147505416369585,0.03917990015515926,0.0015147192924674863
520.0,20.0,2,2.673590429299054e-10,218.52053639362123,252.0445006575713,0.19992901982214523,0.604034735455371,13.16550813689878,0.019972143443771788,6957.096494331286,10.546948285245021,0.04072110051245495,0.001514707315860695
540.0,20.0,2,3.163075244212454e-10,218.51978177451858,252.04446540146694,0.1999334692996667,0.6078769133205615,13.16516226793446,0.01997145320150612,7220.399739689975,10.946377349275144,0.04226226038112188,0.0015146947785210235
560.0,20.0,2,3.105664295500396e-10,218.51921442187302,252.04338112397843,0.19993580321558352,0.611524142404227,13.164903155123085,0.0199708886319041,7483.697802792437,11.345795121913225,0.04380338991713828,0.0015146817910910043
580.0,20.0,2,2.611172109943434e-10,218.51877625540607,252.04143456203002,0.19993591505564814,0.6149926030379698,13.164703891199796,0.01997041075945182,7746.991880616433,11.74520333710226,0.04534449612662397,0.0015146684932887732
600.0,20.0,2,1.9041636842402325e-10,218.51840772241843,252.03909101369936,0.1999361465411948,0.6182966577316088,13.164536886732995,0.0199699796225488,8010.282618351093,12.144602929553237,0.046885582785983586,0.0015146550284340589
