step,dt_days,name,requested_control,target,active_type,active_control,bhp,bhp_bar
28,0.045342520034807876,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
29,0.056678150043509845,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
29,0.056678150043509845,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
29,0.056678150043509845,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
29,0.056678150043509845,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
30,0.0708476875543873,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
30,0.0708476875543873,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
30,0.0708476875543873,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
30,0.0708476875543873,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
31,0.08855960944298412,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
31,0.08855960944298412,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
31,0.08855960944298412,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
31,0.08855960944298412,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
32,0.07327880407418753,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
32,0.07327880407418753,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
32,0.07327880407418753,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
32,0.07327880407418753,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
33,0.09159850509273441,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
33,0.09159850509273441,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
33,0.09159850509273441,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
33,0.09159850509273441,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
34,0.10840149490726583,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
34,0.10840149490726583,PROD_NE,bhp,15500000.0,BHPWell,bhp,15500000.0,155.0
