time,well,cell,well_index,control,target,min_bhp,max_bhp,status,group
152695.9208674173,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
152695.9208674173,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
152695.9208674173,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
152695.9208674173,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
158817.16107211637,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
158817.16107211637,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
158817.16107211637,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
158817.16107211637,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
166468.7113279902,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
166468.7113279902,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
166468.7113279902,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
166468.7113279902,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
172800.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
172800.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
172800.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
172800.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
180714.11084001226,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
180714.11084001226,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
180714.11084001226,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
180714.11084001226,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
190080.00000000003,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
190080.00000000003,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
190080.00000000003,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
190080.00000000003,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
201787.36144998475,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
201787.36144998475,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
201787.36144998475,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
201787.36144998475,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
216000.0,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
216000.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
216000.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
216000.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
224640.0,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
224640.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
224640.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,shut,PRODUCERS
224640.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
235440.0,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
235440.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
235440.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,shut,PRODUCERS
235440.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
248940.0,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
248940.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
248940.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,shut,PRODUCERS
248940.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
259200.0,INJ_SW,0,2.3e-15,water_rate,1.1574074074074073e-05,,33500000.0,open,INJECTORS
259200.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
259200.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,shut,PRODUCERS
259200.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
