time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,so_min,so_max,rs_min_sm3_sm3,rs_max_sm3_sm3,saturated_cells,undersaturated_cells,switched_to_saturated,switched_to_undersaturated,oil_rate_m3_day,water_prod_rate_m3_day,free_gas_rate_sm3_day,gas_component_rate_sm3_day,water_inj_rate_m3_day,producing_gor_sm3_sm3,cumulative_oil_m3,cumulative_water_prod_m3,cumulative_free_gas_sm3,cumulative_gas_component_sm3,cumulative_water_inj_m3,recovery_factor,water_cut,oil_mb_error_m3,water_mb_error_m3,gas_mb_error_sm3,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
43.80232238769531,6.0,1,3.089624492974412e-06,283.04626362774303,284.25269295693664,0.20445952883972265,0.20489951838265102,0.0,0.0,0.795100481617349,0.7955404711602774,155.0,162.33525875785477,0,12,0,0,16.719448536714104,0.009443056126654073,0.0,2654.972698286058,0.0,158.79547058361553,706.2695257072642,0.40898900208605976,0.0,110690.40678189011,0.0,0.005383446275386926,0.0005644758993294744,556.1947025234126,-44.67217331658128,264502.42212266906,0.004239520736352236,-0.0009904779325848575,0.012909673298647865
49.80232238769531,6.0,1,3.090191282759988e-06,280.3661340434184,289.7447172721631,0.20433045903916724,0.20491375574649268,0.0,0.0,0.7950862442535074,0.7956695409608328,155.0,162.33525875785477,0,12,0,0,16.32940238347014,0.009352757985268636,0.0,2593.035135832354,0.0,158.79547058361553,804.245940008085,0.46510554999767156,0.0,126248.61759688423,0.0,0.006130258566509535,0.0005724278198856415,556.5462793184422,-44.67488092828208,265072.1318004923,0.0042422005840857474,-0.000990537966145809,0.012946950679166926
55.80232238769531,6.0,1,3.2373493691396556e-06,287.13336855978594,288.4165228147584,0.20436043653260869,0.20479816064114173,0.0,0.0,0.7952018393588582,0.7956395634673913,155.0,162.33525875785477,0,12,0,0,17.333522045846212,0.009579366596119182,0.0,2752.4847901416238,0.0,158.79547058361555,908.2470722831622,0.5225817495743866,0.0,142763.52633773396,0.0,0.006922993475497169,0.0005523444952727272,557.0386241095384,-44.67778676148686,265123.9592820988,0.004245953417296523,-0.000990602394702815,0.012959903260984543
61.80232238769531,6.0,1,3.4976444619786055e-06,284.40055249061623,294.01824264743703,0.20422529151259217,0.20481267136755588,0.0,0.0,0.7951873286324441,0.7957747084874078,155.0,162.33525875785477,0,12,0,0,16.91931676063689,0.009488215411603369,0.0,2686.7108669585878,0.0,158.79547058361553,1009.7629728469835,0.5795110420440068,0.0,158883.79153948548,0.0,0.007696785033664114,0.0005604775661972391,557.4208551996051,-44.68074096071362,265716.93564586237,0.004248866923349464,-0.0009906678956383042,0.012998755592624908
67.80232238769531,6.0,1,3.41877680080473e-06,291.32969897016307,292.6504369391332,0.20425504256279542,0.204693153505923,0.0,0.0,0.795306846494077,0.7957449574372046,155.0,162.33525875785477,0,12,0,0,17.972335042785485,0.009713949320490715,0.0,2853.925400605525,0.0,158.79547058361553,1117.5969831036964,0.6377947379669511,0.0,176007.34394311864,0.0,0.008518735549361646,0.0005402025834072127,557.9371050897789,-44.6837593239752,265780.18311388005,0.0042528019700239506,-0.000990734819228118,0.013012709812279151
73.80232238769531,6.0,1,3.491870729386373e-06,288.7648249188269,298.2920690006229,0.20412016138011357,0.2047047747222325,0.0,0.0,0.7952952252777675,0.7958798386198864,155.0,162.33525875785477,0,12,0,0,17.57649546845441,0.009631417842274139,0.0,2791.0678691240037,0.0,158.79547058361553,1223.0559559144228,0.6955832450205959,0.0,192753.75115786266,0.0,0.009322582655486612,0.0005476713493850117,558.3109108120177,-44.68667857928603,266373.69045356434,0.004255651254822257,-0.0009907995453820137,0.013052090463966872
79.80232238769531,6.0,1,3.1949108553464778e-06,295.50545899558443,297.00088119662894,0.2041428137106788,0.20458320427216975,0.0,0.0,0.7954167957278302,0.7958571862893212,155.0,162.33525875785477,0,12,0,0,18.63266751123521,0.009845825022194143,0.0,2958.7832056746392,0.0,158.79547058361553,1334.851960981834,0.7546581951537608,0.0,210506.4503919105,0.0,0.010174732953888058,0.0005281382850372015,558.8040758198058,-44.68952810030168,266460.453236192,0.0042594103400265485,-0.0009908627253769613,0.013067653341897708
85.80232238769531,6.0,1,4.18431224896652e-05,293.46359789978635,302.60470179865564,0.20401413328597842,0.20458999085000665,0.0,0.0,0.7954100091499934,0.7959858667140216,155.0,162.33525875785477,0,12,0,0,18.30727279984201,0.009781761565073085,0.0,2907.1119993535367,0.0,158.79547058361553,1444.6955977808861,0.8133487645441992,0.0,227949.1223880317,0.0,0.01101200158275696,0.0005340248090805309,601.8195589899728,-47.34358509069207,273648.01762590965,0.004587290185082169,-0.0010497088634901595,0.013426895921966667
91.80232238769531,6.0,1,1.9862226837890398e-05,299.13281726781014,301.31895350066503,0.20402317873369705,0.20448418131549578,0.0,0.0,0.7955158186845042,0.795976821266303,155.0,162.33525875785477,0,12,0,0,19.22290417280372,0.009957875823576823,0.0,3052.510114104113,0.0,158.79547058361553,1560.0330228177086,0.8730960194856602,0.0,246264.1830726564,0.0,0.011891145887624728,0.0005177531975428247,625.277950829583,-48.784240012139506,277389.12075833976,0.004766098681808758,-0.0010816512742175509,0.013620197682920264
97.80232238769531,6.0,1,8.890036004682435e-05,299.3069339993184,301.4502369926614,0.20402207995191604,0.20448291920632988,0.0,0.0,0.7955170807936701,0.795977920048084,155.0,162.33525875785477,0,12,0,0,19.251637197142145,0.009963194844894508,0.0,3057.072788225224,0.0,158.79547058361553,1675.5428460005614,0.9328751885550273,0.0,264606.61980200774,0.0,0.012771604274614616,0.0005172568552008414,740.3742108306151,-48.73773474874908,295662.97747864045,0.005643404738010226,-0.0010806201527448875,0.014517518748381454
103.80232238769531,6.0,1,8.978396752660316e-05,299.2535676549598,301.40771618848476,0.204022435320275,0.20448331896431682,0.0,0.0,0.7955166810356832,0.795977564679725,155.0,162.33525875785477,0,12,0,0,19.242826672085762,0.009961564607045075,0.0,3055.673716752807,0.0,158.79547058361553,1790.999806033076,0.9926445761972977,0.0,282940.6621025246,0.0,0.01365165971921575,0.000517408932388291,855.8121800779406,-48.680559631959376,313994.76083133783,0.006523315427856876,-0.0010793524577287568,0.015417639948521416
109.80232238769531,6.0,1,8.961665980416403e-05,299.2644798836582,301.4159514471711,0.20402236640041307,0.20448323983208674,0.0,0.0,0.7955167601679133,0.795977633599587,155.0,162.33525875785477,0,12,0,0,19.244627950688436,0.009961897887025388,0.0,3055.9597516361705,0.0,158.79547058361553,1906.4675737372067,1.05241596351945,0.0,301276.4206123416,0.0,0.014531797543867827,0.0005173778286304245,971.2514419966806,-48.62145712975078,332325.807001884,0.007403235970920829,-0.0010780420284424244,0.016317727117247435
115.80232238769531,6.0,1,8.968724480809697e-05,299.2578117519958,301.41063757987854,0.20402241081033437,0.20448328978509167,0.0,0.0,0.7955167102149083,0.7959775891896657,155.0,162.33525875785477,0,12,0,0,19.24352723116518,0.00996169416616079,0.0,3055.7849623614943,0.0,158.7954705836155,2021.9287371241978,1.1121861285164147,0.0,319611.1303865106,0.0,0.01541188502798387,0.0005173968315453951,1086.7258750084027,-48.562984100824025,350662.73868480854,0.008283424601000608,-0.00107674555592937,0.01721809782815012
120.0,4.1976776123046875,1,8.964158252966341e-05,299.2639266900483,301.41470508183824,0.20402237636380183,0.20448324780297697,0.0,0.0,0.795516752197023,0.7959776236361982,155.0,162.33525875785477,0,12,0,0,19.244536636575415,0.00996188092035301,0.0,3055.945251368623,0.0,158.79547058361555,2102.7110977227276,1.1540028930322257,0.0,332439.00335260946,0.0,0.01602763791332268,0.0005173794015617213,1167.492019135534,-48.521659779100375,363487.94343841914,0.008899053878425763,-0.0010758293070498664,0.017847838104802224
